DATE,PRICE_60KILO,PRICE_BUSHEL
03/13/2006,12.96,5.87844
03/14/2006,12.91,5.855760833
03/15/2006,13,5.896583333
03/16/2006,12.78,5.796795
03/17/2006,12.68,5.751436667
03/20/2006,12.73,5.774115833
03/21/2006,12.67,5.746900833
03/22/2006,12.94,5.869368333
03/23/2006,12.87,5.8376175
03/24/2006,12.96,5.87844
03/27/2006,13.12,5.951013333
03/28/2006,12.99,5.8920475
03/29/2006,12.96,5.87844
03/30/2006,12.94,5.869368333
03/31/2006,12.72,5.76958
04/03/2006,12.61,5.719685833
04/04/2006,12.45,5.6471125
04/05/2006,12.46,5.651648333
04/06/2006,12.58,5.706078333
04/07/2006,12.45,5.6471125
04/10/2006,12.4,5.624433333
04/11/2006,12.52,5.678863333
04/12/2006,12.54,5.687935
04/13/2006,12.54,5.687935
04/17/2006,12.77,5.792259167
04/18/2006,12.88,5.842153333
04/19/2006,12.82,5.814938333
04/20/2006,12.75,5.7831875
04/24/2006,12.93,5.8648325
04/25/2006,12.9,5.851225
04/26/2006,12.9,5.851225
04/27/2006,12.9,5.851225
04/28/2006,13.26,6.014515
05/02/2006,13.39,6.073480833
05/03/2006,13.29,6.0281225
05/04/2006,13.43,6.091624167
05/05/2006,13.51,6.127910833
05/08/2006,13.18,5.978228333
05/09/2006,13.52,6.132446667
05/10/2006,13.65,6.1914125
05/11/2006,13.5,6.123375
05/12/2006,13.47,6.1097675
05/15/2006,13.19,5.982764167
05/16/2006,13.25,6.009979167
05/17/2006,13.17,5.9736925
05/18/2006,13.36,6.059873333
05/19/2006,12.96,5.87844
05/22/2006,12.84,5.82401
05/23/2006,12.75,5.7831875
05/24/2006,12.61,5.719685833
05/25/2006,12.91,5.855760833
05/26/2006,12.96,5.87844
05/29/2006,12.63,5.7287575
05/30/2006,13.05,5.9192625
05/31/2006,12.7,5.760508333
06/01/2006,13,5.896583333
06/02/2006,13.16,5.969156667
06/05/2006,13.34,6.050801667
06/06/2006,13.22,5.996371667
06/09/2006,12.96,5.87844
06/12/2006,13.1,5.941941667
06/13/2006,13.14,5.960085
06/14/2006,13.1,5.941941667
06/16/2006,13.29,6.0281225
06/19/2006,12.84,5.82401
06/20/2006,12.99,5.8920475
06/21/2006,13.08,5.93287
06/22/2006,13.04,5.914726667
06/23/2006,13.09,5.937405833
06/26/2006,12.8,5.805866667
06/27/2006,12.85,5.828545833
06/28/2006,13.14,5.960085
06/29/2006,13.37,6.064409167
06/30/2006,13.47,6.1097675
